date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:00:27	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2018%20Mar%202025%2003:00:27%20GMT	https://vakinhasdobem.org/robots.txt		(from )
00:00:28	147485/147485	---M-Z	200	added ('OK')	text/html	date:Mon,%2017%20Mar%202025%2022:08:04%20GMT	https://vakinhasdobem.org/salveohugo/	~/hugo/vakinhasdobem.org/salveohugo/index.html	(from )
00:00:29	1631/1631	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2022:18:04%20GMT	https://vakinhasdobem.org/salveohugo/feed/index.html	~/hugo/vakinhasdobem.org/salveohugo/feed/index.html	(from https://vakinhasdobem.org/salveohugo/)
00:00:30	1640/1640	---M-Z	200	added ('OK')	text/html	date:Mon,%2010%20Mar%202025%2022:18:04%20GMT	https://vakinhasdobem.org/salveohugo/comments/feed/index.html	~/hugo/vakinhasdobem.org/salveohugo/comments/feed/index.html	(from https://vakinhasdobem.org/salveohugo/)
00:00:31	192/192	---M--	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2018:19:04%20GMT	https://vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/assets/css/backwards-compatibility.min3c94.css?ver=2.1.0	~/hugo/vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/assets/css/backwards-compatibility.min3c943c94.css	(from https://vakinhasdobem.org/salveohugo/)
00:00:32	2053/2053	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2018:19:04%20GMT	https://vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/style3c94.css?ver=2.1.0	~/hugo/vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/style3c943c94.css	(from https://vakinhasdobem.org/salveohugo/)
00:00:33	6022/6022	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2018:19:04%20GMT	https://vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/assets/css/general-block-style.min3c94.css?ver=2.1.0	~/hugo/vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/assets/css/general-block-style.min3c943c94.css	(from https://vakinhasdobem.org/salveohugo/)
00:00:34	3214/3214	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2018:19:04%20GMT	https://vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/assets/css/registered-block-styles.min3c94.css?ver=2.1.0	~/hugo/vakinhasdobem.org/salveohugo/wp-content/themes/yith-wonder/assets/css/registered-block-styles.min3c943c94.css	(from https://vakinhasdobem.org/salveohugo/)
00:00:35	53269/53269	---M-Z	200	added ('OK')	text/css	date:Fri,%2021%20Feb%202025%2022:03:45%20GMT	https://vakinhasdobem.org/salveohugo/wp-content/plugins/elementor/assets/css/frontend.min3dd9.css?ver=3.27.6	~/hugo/vakinhasdobem.org/salveohugo/wp-content/plugins/elementor/assets/css/frontend.min3dd93dd9.css	(from https://vakinhasdobem.org/salveohugo/)
00:00:36	1227/1227	---M-Z	200	added ('OK')	text/css	date:Sat,%2008%20Mar%202025%2006:04:42%20GMT	https://vakinhasdobem.org/salveohugo/wp-content/uploads/elementor/css/post-145c69.css?ver=1741413882	~/hugo/vakinhasdobem.org/salveohugo/wp-content/uploads/elementor/css/post-145c695c69.css	(from https://vakinhasdobem.org/salveohugo/)
